9065 0.0145781
0.560184 0.498337 0.191326
0.566912 0.493198 0.195178
0.539625 0.515062 0.197971
0.557868 0.504811 0.199586
0.577977 0.504014 0.193566
0.590518 0.502419 0.198381
0.517288 0.524911 0.191996
0.537765 0.531148 0.193551
0.561067 0.528102 0.194863
0.502994 0.545018 0.190125
0.519097 0.541992 0.19271
0.536641 0.54463 0.192945
0.569841 0.544453 0.193359
0.59864 0.546102 0.194116
0.501548 0.54998 0.191821
0.52061 0.551975 0.198342
0.548097 0.561399 0.198982
0.564497 0.559973 0.187573
0.582874 0.556934 0.192934
0.509711 0.577325 0.198934
0.525884 0.571667 0.192017
0.53961 0.582351 0.19128
0.56632 0.571791 0.194966
0.583783 0.571644 0.199577
0.519605 0.586168 0.191163
0.561892 0.597213 0.195667
0.572824 0.593599 0.197015
0.59639 0.596157 0.197758
0.553163 0.60337 0.196477
0.558966 0.618927 0.198875
0.499351 0.462349 0.214103
0.512728 0.459188 0.210554
0.53012 0.459703 0.213467
0.58083 0.451506 0.214084
0.474001 0.479907 0.215986
0.506797 0.467235 0.209931
0.529362 0.478959 0.205583
0.533538 0.474832 0.205102
0.550748 0.471339 0.213807
0.57351 0.466458 0.207479
0.459267 0.49141 0.215123
0.475104 0.485179 0.212521
0.489387 0.497345 0.20292
0.508222 0.491228 0.201315
0.525992 0.48453 0.215941
0.547648 0.49451 0.212331
0.550218 0.492208 0.202745
0.573445 0.496517 0.215535
0.589396 0.486344 0.204622
0.61416 0.484538 0.2162
0.62835 0.494185 0.208294
0.642637 0.493209 0.216172
0.465805 0.513304 0.207546
0.480759 0.504609 0.210916
0.496386 0.511 0.21025
0.502853 0.513746 0.207599
0.527639 0.505559 0.200646
0.542286 0.515148 0.210534
0.562447 0.509449 0.215015
0.581654 0.509238 0.204861
0.590739 0.515413 0.200194
0.612822 0.5134 0.211226
0.617243 0.512773 0.204766
0.471298 0.520208 0.20932
0.49922 0.523919 0.210983
0.508423 0.529095 0.208242
0.527524 0.525097 0.204557
0.536074 0.531475 0.207743
0.554091 0.517314 0.202745
0.573855 0.531625 0.206773
0.596286 0.52179 0.207098
0.605983 0.518133 0.206123
0.626172 0.526038 0.203029
0.63357 0.524985 0.207006
0.653718 0.518011 0.215603
0.456369 0.5425 0.212308
0.469876 0.5436 0.205529
0.490976 0.537471 0.202723
0.514431 0.539809 0.203452
0.532549 0.537271 0.205231
0.546354 0.548124 0.209452
0.559153 0.547601 0.206097
0.573163 0.541812 0.204614
0.593286 0.539701 0.207745
0.608084 0.545057 0.211124
0.629204 0.540751 0.215717
0.637979 0.549009 0.216455
0.465122 0.56544 0.210895
0.475916 0.555572 0.208342
