6332 0.0145781
0.700002 0.483233 0.349474
0.699955 0.510788 0.347862
0.298866 0.432211 0.365943
0.280719 0.441811 0.365161
0.283716 0.440778 0.36652
0.710349 0.444997 0.364368
0.265958 0.454048 0.36445
0.279059 0.461554 0.364627
0.287483 0.464458 0.356955
0.300362 0.450332 0.364864
0.328353 0.460462 0.359494
0.347761 0.465814 0.365226
0.699713 0.460561 0.355371
0.746187 0.465305 0.366529
0.271802 0.481999 0.366425
0.295089 0.482852 0.362831
0.315121 0.480592 0.361234
0.328177 0.481619 0.359487
0.680481 0.479355 0.363104
0.687281 0.466702 0.358849
0.707545 0.47461 0.365581
0.742245 0.47818 0.358736
0.242457 0.496174 0.36256
0.255974 0.483639 0.357837
0.279977 0.485603 0.357369
0.298745 0.483491 0.361313
0.309722 0.488042 0.359727
0.323978 0.490834 0.361509
0.348375 0.491022 0.362629
0.364442 0.497996 0.363252
0.642805 0.497908 0.363269
0.664811 0.497725 0.365305
0.674413 0.498308 0.351696
0.694967 0.495268 0.358345
0.707896 0.48982 0.354706
0.718739 0.491645 0.363951
0.749448 0.497991 0.358786
0.755228 0.483512 0.365046
0.261584 0.515067 0.35932
0.270371 0.506185 0.357768
0.287318 0.504602 0.355862
0.314182 0.514757 0.350601
0.322785 0.505411 0.360206
0.341919 0.510682 0.358397
0.678886 0.514935 0.353547
0.68366 0.514535 0.355656
0.702264 0.501077 0.354373
0.724255 0.516228 0.352373
0.744221 0.514286 0.35811
0.295759 0.524398 0.360784
0.306356 0.519538 0.365794
0.317811 0.530898 0.366351
0.336913 0.522889 0.356486
0.670799 0.532255 0.356188
0.685357 0.518625 0.351346
0.700603 0.525192 0.359574
0.726407 0.527441 0.361139
0.735051 0.532553 0.357916
0.272442 0.533523 0.364041
0.315017 0.534538 0.366005
0.676656 0.548866 0.360606
0.728203 0.536276 0.364385
0.74364 0.538531 0.362094
0.252853 0.552386 0.366076
0.28013 0.565907 0.366042
0.29616 0.5636 0.363096
0.314131 0.560235 0.362509
0.697422 0.562891 0.363143
0.316574 0.416207 0.376022
0.264041 0.432992 0.383053
0.26892 0.426282 0.375454
0.305866 0.421153 0.379063
0.340238 0.425442 0.380298
0.367611 0.43158 0.383068
